Name,Full Path,Size,Allocated,Files,Folders,% of Parent (Allocated),Last Modified,Last Accessed,Owner,Type,Dir Level (Relative)
Shared,D:\FileServer\HumanResources\Pioneer116\Shared\,2.5 GB,2.5 GB,5,0,8.2 %,06/19/2019,07/11/2018,CORP\tnguyen,File Folder,3
Titan_summary_754.csv,D:\FileServer\HumanResources\Pioneer116\Shared\Titan_summary_754.csv,63.9 MB,63.9 MB,1,0,2.5 %,10/21/2020,11/21/2021,CORP\svc_backup,CSV File,4
Titan_export_794.zip,D:\FileServer\HumanResources\Pioneer116\Shared\Titan_export_794.zip,721.0 MB,721.0 MB,1,0,27.7 %,01/02/2020,08/08/2020,CORP\administrator,ZIP File,4
Quantum_Q3_205.pdf,D:\FileServer\HumanResources\Pioneer116\Shared\Quantum_Q3_205.pdf,8.7 MB,8.7 MB,1,0,0.3 %,07/25/2024,10/08/2024,CORP\lokafor,PDF File,4
Falcon_Q2_90.accdb,D:\FileServer\HumanResources\Pioneer116\Shared\Falcon_Q2_90.accdb,1.7 GB,1.7 GB,1,0,66.6 %,08/02/2018,06/15/2020,CORP\kpatel,Access Database,4
Summit_v1_564.dat,D:\FileServer\HumanResources\Pioneer116\Shared\Summit_v1_564.dat,74.3 MB,74.3 MB,1,0,2.9 %,12/29/2024,11/01/2025,CORP\achen,DAT File,4
Working,D:\FileServer\HumanResources\Pioneer116\Working\,3.7 GB,3.7 GB,11,0,12.1 %,12/16/2022,05/26/2025,CORP\achen,File Folder,3
Pioneer_data_125.jpg,D:\FileServer\HumanResources\Pioneer116\Working\Pioneer_data_125.jpg,6.4 MB,6.4 MB,1,0,0.2 %,07/22/2016,03/21/2017,CORP\lokafor,JPG File,4
Apollo_spec_568.xml,D:\FileServer\HumanResources\Pioneer116\Working\Apollo_spec_568.xml,5.9 MB,5.9 MB,1,0,0.2 %,03/29/2020,10/14/2021,CORP\achen,XML File,4
Catalyst_v1_68.mp4,D:\FileServer\HumanResources\Pioneer116\Working\Catalyst_v1_68.mp4,1.6 GB,1.6 GB,1,0,42.8 %,01/15/2023,01/20/2025,CORP\lokafor,MP4 File,4
Pioneer_Q1_788.msg,D:\FileServer\HumanResources\Pioneer116\Working\Pioneer_Q1_788.msg,1.7 MB,1.7 MB,1,0,0.0 %,06/12/2021,08/26/2021,CORP\achen,MSG File,4
Atlas_v1_461.log,D:\FileServer\HumanResources\Pioneer116\Working\Atlas_v1_461.log,43.5 MB,43.5 MB,1,0,1.1 %,10/20/2020,10/07/2021,CORP\achen,Log File,4
Pulse_minutes_656.xml,D:\FileServer\HumanResources\Pioneer116\Working\Pulse_minutes_656.xml,2.9 MB,2.9 MB,1,0,0.1 %,08/11/2023,12/21/2023,CORP\dmiller,XML File,4
Pioneer_report_852.pdf,D:\FileServer\HumanResources\Pioneer116\Working\Pioneer_report_852.pdf,33.2 MB,33.2 MB,1,0,0.9 %,09/18/2016,07/26/2017,CORP\achen,PDF File,4
Falcon430,D:\FileServer\HumanResources\Falcon430\,39.5 GB,39.5 GB,33,3,31.0 %,06/25/2025,12/15/2022,CORP\rgarcia,File Folder,2
Pioneer_budget_867.xlsx,D:\FileServer\HumanResources\Falcon430\Pioneer_budget_867.xlsx,8.0 MB,8.0 MB,1,0,0.0 %,03/15/2017,12/25/2018,CORP\svc_backup,XLSX File,3
Quantum_final_641.mp4,D:\FileServer\HumanResources\Falcon430\Quantum_final_641.mp4,2.5 GB,2.5 GB,1,0,6.2 %,12/25/2020,03/30/2021,CORP\svc_backup,MP4 File,3
Beacon_draft_607.xml,D:\FileServer\HumanResources\Falcon430\Beacon_draft_607.xml,2.5 MB,2.5 MB,1,0,0.0 %,12/02/2016,10/07/2018,CORP\administrator,XML File,3
Summit_plan_863.xml,D:\FileServer\HumanResources\Falcon430\Summit_plan_863.xml,675.4 KB,676.0 KB,1,0,0.0 %,04/03/2024,05/02/2024,CORP\mwilson,XML File,3
Apollo_proposal_272.pst,D:\FileServer\HumanResources\Falcon430\Apollo_proposal_272.pst,14.3 GB,14.3 GB,1,0,36.3 %,12/06/2021,09/21/2023,CORP\jsmith,Outlook Data File,3
Horizon_minutes_297.pst,D:\FileServer\HumanResources\Falcon430\Horizon_minutes_297.pst,11.9 GB,11.9 GB,1,0,30.0 %,06/01/2020,02/06/2021,CORP\dmiller,Outlook Data File,3
Quantum_Q2_75.sql,D:\FileServer\HumanResources\Falcon430\Quantum_Q2_75.sql,7.7 MB,7.7 MB,1,0,0.0 %,10/09/2016,01/02/2018,CORP\dmiller,SQL File,3
Horizon_Q2_209.dwg,D:\FileServer\HumanResources\Falcon430\Horizon_Q2_209.dwg,77.9 MB,77.9 MB,1,0,0.2 %,08/11/2016,06/27/2017,CORP\kpatel,DWG File,3
Old,D:\FileServer\HumanResources\Falcon430\Old\,2.3 GB,2.3 GB,10,0,5.9 %,06/19/2016,07/13/2023,CORP\kpatel,File Folder,3
Pioneer_v2_327.png,D:\FileServer\HumanResources\Falcon430\Old\Pioneer_v2_327.png,3.8 MB,3.8 MB,1,0,0.2 %,05/16/2016,02/13/2017,CORP\lokafor,PNG File,4
Nimbus_final_100.docx,D:\FileServer\HumanResources\Falcon430\Old\Nimbus_final_100.docx,2.3 MB,2.3 MB,1,0,0.1 %,08/08/2025,12/31/2025,CORP\administrator,DOCX File,4
Vertex_data_986.csv,D:\FileServer\HumanResources\Falcon430\Old\Vertex_data_986.csv,41.9 MB,41.9 MB,1,0,1.8 %,06/21/2025,12/31/2025,CORP\kpatel,CSV File,4
Nimbus_draft_511.iso,D:\FileServer\HumanResources\Falcon430\Old\Nimbus_draft_511.iso,2.0 GB,2.0 GB,1,0,83.8 %,11/09/2024,09/20/2025,CORP\lokafor,Disc Image File,4
Apollo_v1_968.vsdx,D:\FileServer\HumanResources\Falcon430\Old\Apollo_v1_968.vsdx,2.1 MB,2.1 MB,1,0,0.1 %,02/16/2020,10/19/2020,CORP\rgarcia,VSDX File,4
Catalyst_spec_50.docx,D:\FileServer\HumanResources\Falcon430\Old\Catalyst_spec_50.docx,2.3 MB,2.3 MB,1,0,0.1 %,07/20/2020,03/23/2022,CORP\lokafor,DOCX File,4
Quantum_minutes_9.pdf,D:\FileServer\HumanResources\Falcon430\Old\Quantum_minutes_9.pdf,27.6 MB,27.6 MB,1,0,1.2 %,07/02/2016,03/29/2017,CORP\kpatel,PDF File,4
Orbit_review_375.docx,D:\FileServer\HumanResources\Falcon430\Old\Orbit_review_375.docx,3.2 MB,3.2 MB,1,0,0.1 %,07/29/2015,03/03/2017,CORP\svc_backup,DOCX File,4
Nimbus_spec_567.mp4,D:\FileServer\HumanResources\Falcon430\Old\Nimbus_spec_567.mp4,303.1 MB,303.1 MB,1,0,12.7 %,05/02/2019,09/29/2020,CORP\lokafor,MP4 File,4
Orbit_minutes_287.json,D:\FileServer\HumanResources\Falcon430\Old\Orbit_minutes_287.json,973.5 KB,976.0 KB,1,0,0.0 %,06/11/2016,09/18/2016,CORP\dmiller,JSON File,4
Shared,D:\FileServer\HumanResources\Falcon430\Shared\,8.3 GB,8.3 GB,7,0,20.9 %,11/30/2023,10/20/2018,CORP\svc_backup,File Folder,3
Orbit_final_204.json,D:\FileServer\HumanResources\Falcon430\Shared\Orbit_final_204.json,4.1 MB,4.1 MB,1,0,0.0 %,07/03/2019,11/26/2020,CORP\jsmith,JSON File,4
Apollo_report_141.sql,D:\FileServer\HumanResources\Falcon430\Shared\Apollo_report_141.sql,42.6 MB,42.6 MB,1,0,0.5 %,01/07/2024,05/06/2025,CORP\svc_backup,SQL File,4
Horizon_final_621.iso,D:\FileServer\HumanResources\Falcon430\Shared\Horizon_final_621.iso,667.9 MB,667.9 MB,1,0,7.9 %,06/11/2025,12/31/2025,CORP\kpatel,Disc Image File,4
Falcon_review_632.py,D:\FileServer\HumanResources\Falcon430\Shared\Falcon_review_632.py,76.8 KB,80.0 KB,1,0,0.0 %,08/28/2021,08/07/2022,CORP\svc_backup,Python File,4
Pulse_Q4_546.bak,D:\FileServer\HumanResources\Falcon430\Shared\Pulse_Q4_546.bak,1.2 GB,1.2 GB,1,0,14.5 %,02/24/2024,03/12/2024,CORP\kpatel,BAK File,4
Atlas_v2_427.xml,D:\FileServer\HumanResources\Falcon430\Shared\Atlas_v2_427.xml,4.9 MB,4.9 MB,1,0,0.1 %,12/08/2023,12/19/2025,CORP\jsmith,XML File,4
Catalyst_Q3_272.pst,D:\FileServer\HumanResources\Falcon430\Shared\Catalyst_Q3_272.pst,6.4 GB,6.4 GB,1,0,77.0 %,02/02/2023,03/26/2023,CORP\administrator,Outlook Data File,4
2021,D:\FileServer\HumanResources\Falcon430\2021\,183.9 MB,183.9 MB,8,0,0.5 %,11/29/2016,11/17/2020,CORP\administrator,File Folder,3
Falcon_data_33.xml,D:\FileServer\HumanResources\Falcon430\2021\Falcon_data_33.xml,1.8 MB,1.8 MB,1,0,1.0 %,02/20/2017,03/11/2017,CORP\lokafor,XML File,4
Atlas_Q1_156.msg,D:\FileServer\HumanResources\Falcon430\2021\Atlas_Q1_156.msg,1.4 MB,1.4 MB,1,0,0.8 %,04/15/2017,06/09/2018,CORP\svc_backup,MSG File,4
Orbit_Q3_894.py,D:\FileServer\HumanResources\Falcon430\2021\Orbit_Q3_894.py,186.4 KB,188.0 KB,1,0,0.1 %,09/13/2015,09/04/2017,CORP\achen,Python File,4
Pioneer_notes_575.dwg,D:\FileServer\HumanResources\Falcon430\2021\Pioneer_notes_575.dwg,85.1 MB,85.1 MB,1,0,46.2 %,05/13/2020,11/02/2021,CORP\dmiller,DWG File,4
Atlas_draft_471.dat,D:\FileServer\HumanResources\Falcon430\2021\Atlas_draft_471.dat,87.6 MB,87.6 MB,1,0,47.6 %,02/15/2021,02/12/2022,CORP\tnguyen,DAT File,4
Catalyst_Q3_197.png,D:\FileServer\HumanResources\Falcon430\2021\Catalyst_Q3_197.png,2.3 MB,2.3 MB,1,0,1.2 %,04/04/2021,02/03/2022,CORP\rgarcia,PNG File,4
Quantum_budget_722.jpg,D:\FileServer\HumanResources\Falcon430\2021\Quantum_budget_722.jpg,5.6 MB,5.6 MB,1,0,3.0 %,11/27/2022,04/10/2024,CORP\kpatel,JPG File,4
Horizon_spec_574.py,D:\FileServer\HumanResources\Falcon430\2021\Horizon_spec_574.py,70.2 KB,72.0 KB,1,0,0.0 %,03/24/2018,07/26/2018,CORP\administrator,Python File,4
Legal,D:\FileServer\Legal\,160.7 GB,160.7 GB,219,20,19.2 %,08/03/2022,02/02/2021,CORP\dmiller,File Folder,1
Pulse_spec_978.tif,D:\FileServer\Legal\Pulse_spec_978.tif,38.0 MB,38.0 MB,1,0,0.0 %,04/04/2018,05/17/2018,CORP\tnguyen,TIF File,2
Summit_v1_355.log,D:\FileServer\Legal\Summit_v1_355.log,42.0 MB,42.0 MB,1,0,0.0 %,11/16/2017,12/21/2019,CORP\lokafor,Log File,2
Nimbus_notes_848.dat,D:\FileServer\Legal\Nimbus_notes_848.dat,69.4 MB,69.4 MB,1,0,0.0 %,06/18/2025,12/31/2025,CORP\tnguyen,DAT File,2
Falcon_v2_631.py,D:\FileServer\Legal\Falcon_v2_631.py,150.4 KB,152.0 KB,1,0,0.0 %,09/07/2017,05/13/2018,CORP\jsmith,Python File,2
Beacon_Q4_232.pst,D:\FileServer\Legal\Beacon_Q4_232.pst,1001.4 MB,1001.4 MB,1,0,0.6 %,02/15/2016,04/13/2017,CORP\kpatel,Outlook Data File,2
Titan797,D:\FileServer\Legal\Titan797\,18.5 GB,18.5 GB,16,2,11.5 %,08/24/2023,07/17/2016,CORP\jsmith,File Folder,2
Vertex_Q3_489.pst,D:\FileServer\Legal\Titan797\Vertex_Q3_489.pst,11.9 GB,11.9 GB,1,0,64.3 %,08/08/2018,05/27/2019,CORP\jsmith,Outlook Data File,3
Orbit_v1_668.xml,D:\FileServer\Legal\Titan797\Orbit_v1_668.xml,3.7 MB,3.7 MB,1,0,0.0 %,12/31/2020,01/26/2023,CORP\jsmith,XML File,3
Falcon_Q1_904.csv,D:\FileServer\Legal\Titan797\Falcon_Q1_904.csv,4.7 MB,4.7 MB,1,0,0.0 %,05/18/2024,06/28/2025,CORP\lokafor,CSV File,3
Falcon_budget_898.docx,D:\FileServer\Legal\Titan797\Falcon_budget_898.docx,95.4 KB,96.0 KB,1,0,0.0 %,05/07/2018,12/09/2019,CORP\administrator,DOCX File,3
Titan_plan_292.log,D:\FileServer\Legal\Titan797\Titan_plan_292.log,41.0 MB,41.0 MB,1,0,0.2 %,02/03/2021,07/24/2022,CORP\lokafor,Log File,3
Exports,D:\FileServer\Legal\Titan797\Exports\,2.3 GB,2.3 GB,5,0,12.7 %,08/27/2020,04/01/2020,CORP\tnguyen,File Folder,3
Orbit_v2_339.csv,D:\FileServer\Legal\Titan797\Exports\Orbit_v2_339.csv,58.7 MB,58.7 MB,1,0,2.4 %,04/09/2022,12/28/2022,CORP\achen,CSV File,4
Apollo_plan_810.mp4,D:\FileServer\Legal\Titan797\Exports\Apollo_plan_810.mp4,2.3 GB,2.3 GB,1,0,96.8 %,07/25/2022,09/07/2024,CORP\rgarcia,MP4 File,4
Falcon_review_847.msg,D:\FileServer\Legal\Titan797\Exports\Falcon_review_847.msg,1.0 MB,1.0 MB,1,0,0.0 %,09/05/2018,12/02/2018,CORP\dmiller,MSG File,4
Beacon_v2_190.txt,D:\FileServer\Legal\Titan797\Exports\Beacon_v2_190.txt,244.7 KB,248.0 KB,1,0,0.0 %,08/18/2018,04/29/2019,CORP\jsmith,Text File,4
Quantum_review_242.log,D:\FileServer\Legal\Titan797\Exports\Quantum_review_242.log,17.1 MB,17.1 MB,1,0,0.7 %,09/12/2025,12/31/2025,CORP\tnguyen,Log File,4
2023,D:\FileServer\Legal\Titan797\2023\,4.2 GB,4.2 GB,6,0,22.7 %,02/08/2023,06/04/2021,CORP\jsmith,File Folder,3
Beacon_spec_710.png,D:\FileServer\Legal\Titan797\2023\Beacon_spec_710.png,528.5 KB,532.0 KB,1,0,0.0 %,06/28/2022,10/27/2022,CORP\lokafor,PNG File,4
Quantum_draft_416.accdb,D:\FileServer\Legal\Titan797\2023\Quantum_draft_416.accdb,1.0 GB,1.0 GB,1,0,23.9 %,05/09/2025,12/31/2025,CORP\tnguyen,Access Database,4
Summit_v2_655.mp4,D:\FileServer\Legal\Titan797\2023\Summit_v2_655.mp4,1.5 GB,1.5 GB,1,0,35.0 %,11/22/2021,07/06/2022,CORP\rgarcia,MP4 File,4
Falcon_Q3_157.log,D:\FileServer\Legal\Titan797\2023\Falcon_Q3_157.log,38.8 MB,38.8 MB,1,0,0.9 %,03/11/2019,05/09/2020,CORP\svc_backup,Log File,4
Horizon_minutes_822.accdb,D:\FileServer\Legal\Titan797\2023\Horizon_minutes_822.accdb,1.7 GB,1.7 GB,1,0,39.3 %,06/13/2017,08/02/2019,CORP\rgarcia,Access Database,4
Beacon_v1_539.log,D:\FileServer\Legal\Titan797\2023\Beacon_v1_539.log,33.8 MB,33.8 MB,1,0,0.8 %,11/22/2022,11/27/2023,CORP\mwilson,Log File,4
Catalyst214,D:\FileServer\Legal\Catalyst214\,78.0 GB,78.0 GB,91,4,48.5 %,09/10/2015,04/17/2024,CORP\svc_backup,File Folder,2
Catalyst_minutes_154.csv,D:\FileServer\Legal\Catalyst214\Catalyst_minutes_154.csv,42.0 MB,42.0 MB,1,0,0.1 %,07/31/2024,12/31/2025,CORP\lokafor,CSV File,3
Titan_notes_735.xml,D:\FileServer\Legal\Catalyst214\Titan_notes_735.xml,7.8 MB,7.8 MB,1,0,0.0 %,01/08/2016,06/13/2017,CORP\lokafor,XML File,3
Orbit_report_465.txt,D:\FileServer\Legal\Catalyst214\Orbit_report_465.txt,263.0 KB,264.0 KB,1,0,0.0 %,08/29/2019,12/08/2020,CORP\administrator,Text File,3
Apollo_minutes_474.accdb,D:\FileServer\Legal\Catalyst214\Apollo_minutes_474.accdb,1.6 GB,1.6 GB,1,0,2.1 %,06/16/2018,06/25/2020,CORP\jsmith,Access Database,3
Vertex_export_837.pptx,D:\FileServer\Legal\Catalyst214\Vertex_export_837.pptx,47.9 MB,47.9 MB,1,0,0.1 %,06/11/2017,01/24/2019,CORP\mwilson,PPTX File,3
Apollo_Q1_353.sql,D:\FileServer\Legal\Catalyst214\Apollo_Q1_353.sql,8.2 MB,8.2 MB,1,0,0.0 %,01/25/2021,03/27/2021,CORP\mwilson,SQL File,3
Archive,D:\FileServer\Legal\Catalyst214\Archive\,11.5 GB,11.5 GB,4,0,14.7 %,03/21/2018,08/02/2019,CORP\achen,File Folder,3
Orbit_Q1_384.vsdx,D:\FileServer\Legal\Catalyst214\Archive\Orbit_Q1_384.vsdx,1.8 MB,1.8 MB,1,0,0.0 %,10/01/2024,10/22/2025,CORP\dmiller,VSDX File,4
Titan_minutes_137.pst,D:\FileServer\Legal\Catalyst214\Archive\Titan_minutes_137.pst,11.5 GB,11.5 GB,1,0,100.0 %,04/30/2016,10/29/2016,CORP\svc_backup,Outlook Data File,4
Vertex_Q4_131.py,D:\FileServer\Legal\Catalyst214\Archive\Vertex_Q4_131.py,57.2 KB,60.0 KB,1,0,0.0 %,05/12/2024,05/15/2024,CORP\jsmith,Python File,4
Quantum_Q2_690.py,D:\FileServer\Legal\Catalyst214\Archive\Quantum_Q2_690.py,139.6 KB,140.0 KB,1,0,0.0 %,10/04/2019,03/31/2021,CORP\dmiller,Python File,4
Exports,D:\FileServer\Legal\Catalyst214\Exports\,28.6 GB,28.6 GB,31,0,36.7 %,07/29/2017,10/10/2017,CORP\lokafor,File Folder,3
Falcon_export_194.py,D:\FileServer\Legal\Catalyst214\Exports\Falcon_export_194.py,29.1 KB,32.0 KB,1,0,0.0 %,05/12/2015,03/18/2017,CORP\dmiller,Python File,4
Catalyst_summary_247.jpg,D:\FileServer\Legal\Catalyst214\Exports\Catalyst_summary_247.jpg,629.4 KB,632.0 KB,1,0,0.0 %,02/18/2016,10/18/2017,CORP\jsmith,JPG File,4
Horizon_report_251.py,D:\FileServer\Legal\Catalyst214\Exports\Horizon_report_251.py,11.5 KB,12.0 KB,1,0,0.0 %,07/06/2019,09/27/2020,CORP\rgarcia,Python File,4
Pioneer_notes_773.tif,D:\FileServer\Legal\Catalyst214\Exports\Pioneer_notes_773.tif,14.9 MB,14.9 MB,1,0,0.1 %,07/27/2016,12/24/2017,CORP\tnguyen,TIF File,4
Nimbus_proposal_327.xml,D:\FileServer\Legal\Catalyst214\Exports\Nimbus_proposal_327.xml,5.1 MB,5.1 MB,1,0,0.0 %,08/28/2017,07/03/2018,CORP\achen,XML File,4
Beacon_Q4_227.msg,D:\FileServer\Legal\Catalyst214\Exports\Beacon_Q4_227.msg,625.2 KB,628.0 KB,1,0,0.0 %,02/01/2018,04/04/2018,CORP\svc_backup,MSG File,4
Catalyst_draft_642.accdb,D:\FileServer\Legal\Catalyst214\Exports\Catalyst_draft_642.accdb,875.9 MB,875.9 MB,1,0,3.0 %,03/26/2021,08/15/2022,CORP\jsmith,Access Database,4
Shared,D:\FileServer\Legal\Catalyst214\Shared\,13.1 GB,13.1 GB,23,0,16.8 %,07/23/2025,03/20/2022,CORP\dmiller,File Folder,3
Atlas_Q1_419.txt,D:\FileServer\Legal\Catalyst214\Shared\Atlas_Q1_419.txt,153.7 KB,156.0 KB,1,0,0.0 %,03/22/2019,09/26/2019,CORP\svc_backup,Text File,4
Horizon_data_870.png,D:\FileServer\Legal\Catalyst214\Shared\Horizon_data_870.png,2.4 MB,2.4 MB,1,0,0.0 %,08/13/2024,12/31/2025,CORP\achen,PNG File,4
Orbit_Q2_937.docx,D:\FileServer\Legal\Catalyst214\Shared\Orbit_Q2_937.docx,4.5 MB,4.5 MB,1,0,0.0 %,08/18/2019,10/17/2020,CORP\svc_backup,DOCX File,4
Pioneer_final_398.png,D:\FileServer\Legal\Catalyst214\Shared\Pioneer_final_398.png,2.1 MB,2.1 MB,1,0,0.0 %,04/12/2017,03/16/2018,CORP\mwilson,PNG File,4
Horizon_spec_95.dat,D:\FileServer\Legal\Catalyst214\Shared\Horizon_spec_95.dat,185.5 MB,185.5 MB,1,0,1.4 %,04/20/2024,11/01/2024,CORP\jsmith,DAT File,4
Quantum_review_690.json,D:\FileServer\Legal\Catalyst214\Shared\Quantum_review_690.json,324.2 KB,328.0 KB,1,0,0.0 %,10/18/2024,12/31/2024,CORP\rgarcia,JSON File,4
Orbit_proposal_742.accdb,D:\FileServer\Legal\Catalyst214\Shared\Orbit_proposal_742.accdb,1.1 GB,1.1 GB,1,0,8.5 %,06/07/2017,10/10/2018,CORP\rgarcia,Access Database,4
Pulse_plan_311.pptx,D:\FileServer\Legal\Catalyst214\Shared\Pulse_plan_311.pptx,13.7 MB,13.8 MB,1,0,0.1 %,07/05/2025,12/31/2025,CORP\mwilson,PPTX File,4
Summit_Q3_937.png,D:\FileServer\Legal\Catalyst214\Shared\Summit_Q3_937.png,5.6 MB,5.6 MB,1,0,0.0 %,10/11/2021,10/01/2023,CORP\rgarcia,PNG File,4
Vertex_data_566.dwg,D:\FileServer\Legal\Catalyst214\Shared\Vertex_data_566.dwg,99.6 MB,99.6 MB,1,0,0.7 %,03/05/2018,03/29/2019,CORP\lokafor,DWG File,4
2022,D:\FileServer\Legal\Catalyst214\2022\,2.0 GB,2.0 GB,6,0,2.6 %,04/11/2022,01/11/2019,CORP\tnguyen,File Folder,3
Atlas_Q4_904.bak,D:\FileServer\Legal\Catalyst214\2022\Atlas_Q4_904.bak,1.9 GB,1.9 GB,1,0,91.8 %,01/02/2024,12/31/2025,CORP\lokafor,BAK File,4
Orbit_plan_937.jpg,D:\FileServer\Legal\Catalyst214\2022\Orbit_plan_937.jpg,3.0 MB,3.0 MB,1,0,0.1 %,07/05/2018,09/01/2019,CORP\jsmith,JPG File,4
Catalyst_data_760.txt,D:\FileServer\Legal\Catalyst214\2022\Catalyst_data_760.txt,8.5 KB,12.0 KB,1,0,0.0 %,12/04/2017,06/23/2019,CORP\administrator,Text File,4
Catalyst_Q1_303.txt,D:\FileServer\Legal\Catalyst214\2022\Catalyst_Q1_303.txt,100.6 KB,104.0 KB,1,0,0.0 %,09/13/2018,05/06/2019,CORP\dmiller,Text File,4
Catalyst_data_512.dat,D:\FileServer\Legal\Catalyst214\2022\Catalyst_data_512.dat,167.6 MB,167.6 MB,1,0,8.1 %,07/31/2025,12/31/2025,CORP\kpatel,DAT File,4
Quantum_Q3_990.py,D:\FileServer\Legal\Catalyst214\2022\Quantum_Q3_990.py,164.5 KB,168.0 KB,1,0,0.0 %,04/18/2023,09/01/2024,CORP\lokafor,Python File,4
Falcon850,D:\FileServer\Legal\Falcon850\,2.0 GB,2.0 GB,24,3,1.2 %,12/01/2023,12/13/2018,CORP\achen,File Folder,2
Summit_minutes_501.csv,D:\FileServer\Legal\Falcon850\Summit_minutes_501.csv,69.4 MB,69.4 MB,1,0,3.4 %,03/13/2022,05/12/2022,CORP\svc_backup,CSV File,3
Apollo_v1_968.accdb,D:\FileServer\Legal\Falcon850\Apollo_v1_968.accdb,100.3 MB,100.3 MB,1,0,4.9 %,07/28/2023,08/03/2023,CORP\dmiller,Access Database,3
Falcon_data_70.sql,D:\FileServer\Legal\Falcon850\Falcon_data_70.sql,19.3 MB,19.3 MB,1,0,0.9 %,02/07/2015,09/18/2015,CORP\svc_backup,SQL File,3
Horizon_spec_62.json,D:\FileServer\Legal\Falcon850\Horizon_spec_62.json,3.9 MB,3.9 MB,1,0,0.2 %,05/24/2022,10/05/2023,CORP\jsmith,JSON File,3
Apollo_minutes_565.msg,D:\FileServer\Legal\Falcon850\Apollo_minutes_565.msg,34.0 KB,36.0 KB,1,0,0.0 %,03/10/2015,09/02/2016,CORP\tnguyen,MSG File,3
Archive,D:\FileServer\Legal\Falcon850\Archive\,5.1 MB,5.1 MB,4,0,0.3 %,08/19/2020,02/13/2024,CORP\dmiller,File Folder,3
Titan_v2_537.txt,D:\FileServer\Legal\Falcon850\Archive\Titan_v2_537.txt,123.6 KB,124.0 KB,1,0,2.3 %,02/25/2017,11/21/2018,CORP\svc_backup,Text File,4
Quantum_spec_274.vsdx,D:\FileServer\Legal\Falcon850\Archive\Quantum_spec_274.vsdx,362.7 KB,364.0 KB,1,0,6.9 %,03/09/2019,04/27/2020,CORP\lokafor,VSDX File,4
Catalyst_data_714.png,D:\FileServer\Legal\Falcon850\Archive\Catalyst_data_714.png,2.4 MB,2.4 MB,1,0,47.0 %,09/02/2022,11/23/2022,CORP\jsmith,PNG File,4
Titan_review_389.vsdx,D:\FileServer\Legal\Falcon850\Archive\Titan_review_389.vsdx,2.2 MB,2.2 MB,1,0,43.7 %,05/03/2020,06/29/2020,CORP\jsmith,VSDX File,4
Working,D:\FileServer\Legal\Falcon850\Working\,382.6 MB,382.6 MB,8,0,18.7 %,12/02/2016,12/05/2015,CORP\lokafor,File Folder,3
Beacon_plan_580.pdf,D:\FileServer\Legal\Falcon850\Working\Beacon_plan_580.pdf,33.8 MB,33.9 MB,1,0,8.8 %,04/22/2025,06/04/2025,CORP\rgarcia,PDF File,4
Nimbus_proposal_487.zip,D:\FileServer\Legal\Falcon850\Working\Nimbus_proposal_487.zip,47.8 MB,47.8 MB,1,0,12.5 %,05/13/2025,07/28/2025,CORP\tnguyen,ZIP File,4
Pioneer_proposal_674.docx,D:\FileServer\Legal\Falcon850\Working\Pioneer_proposal_674.docx,1.5 MB,1.5 MB,1,0,0.4 %,06/01/2025,12/31/2025,CORP\jsmith,DOCX File,4
Nimbus_proposal_148.tif,D:\FileServer\Legal\Falcon850\Working\Nimbus_proposal_148.tif,182.9 MB,182.9 MB,1,0,47.8 %,03/16/2024,04/27/2025,CORP\mwilson,TIF File,4
Quantum_draft_578.png,D:\FileServer\Legal\Falcon850\Working\Quantum_draft_578.png,4.6 MB,4.6 MB,1,0,1.2 %,05/11/2024,06/13/2025,CORP\svc_backup,PNG File,4
Atlas_review_774.py,D:\FileServer\Legal\Falcon850\Working\Atlas_review_774.py,36.0 KB,40.0 KB,1,0,0.0 %,11/12/2023,10/17/2025,CORP\mwilson,Python File,4
Pioneer_spec_55.pdf,D:\FileServer\Legal\Falcon850\Working\Pioneer_spec_55.pdf,28.0 MB,28.0 MB,1,0,7.3 %,08/08/2017,10/24/2017,CORP\kpatel,PDF File,4
Catalyst_review_993.tif,D:\FileServer\Legal\Falcon850\Working\Catalyst_review_993.tif,84.0 MB,84.0 MB,1,0,22.0 %,05/02/2015,02/09/2017,CORP\tnguyen,TIF File,4
Templates,D:\FileServer\Legal\Falcon850\Templates\,1.4 GB,1.4 GB,7,0,71.7 %,01/20/2020,07/02/2020,CORP\rgarcia,File Folder,3
Pioneer_review_443.csv,D:\FileServer\Legal\Falcon850\Templates\Pioneer_review_443.csv,75.0 MB,75.0 MB,1,0,5.1 %,05/30/2022,06/23/2023,CORP\mwilson,CSV File,4
Orbit_budget_818.png,D:\FileServer\Legal\Falcon850\Templates\Orbit_budget_818.png,621.7 KB,624.0 KB,1,0,0.0 %,12/03/2015,09/02/2016,CORP\achen,PNG File,4
Vertex_final_758.vsdx,D:\FileServer\Legal\Falcon850\Templates\Vertex_final_758.vsdx,1.3 MB,1.3 MB,1,0,0.1 %,01/17/2019,05/06/2019,CORP\mwilson,VSDX File,4
Apollo_budget_456.psd,D:\FileServer\Legal\Falcon850\Templates\Apollo_budget_456.psd,784.4 MB,784.4 MB,1,0,53.4 %,01/09/2018,04/23/2018,CORP\achen,PSD File,4
Titan_draft_442.log,D:\FileServer\Legal\Falcon850\Templates\Titan_draft_442.log,35.6 MB,35.6 MB,1,0,2.4 %,03/22/2021,08/28/2022,CORP\dmiller,Log File,4
